requested_at,confirmed_at,finished_at,predicted_duration
2021-05-29 20:29:25.118000,2021-05-29 20:36:29.526000,2021-05-29 21:23:24.282000,853
2019-11-04 22:28:42.269000,2019-11-04 22:33:55.342000,2019-11-04 22:52:16.722000,678
2019-11-06 17:26:41.175000,2019-11-06 17:31:09.178000,2019-11-06 17:38:55.456000,107
2019-11-06 17:58:14.665000,2019-11-06 18:15:28.287000,2019-11-06 18:25:40.504000,327
2019-11-06 22:52:44.373000,2019-11-06 22:53:20.286000,2019-11-06 23:11:11.266000,599
2019-11-07 15:11:10.724000,2019-11-07 15:12:16.684000,2019-11-07 15:30:39.234000,610
2019-11-07 15:27:47.333000,2019-11-07 15:42:04.488000,2019-11-07 15:52:03.487000,384
2019-11-07 15:31:18.673000,2019-11-07 15:42:18.779000,2019-11-07 16:01:15.504000,388
2019-11-08 20:11:30.797000,2019-11-08 20:16:03.480000,2019-11-08 20:27:04.152000,511
2019-11-08 20:34:40.992000,2019-11-08 20:36:50.198000,2019-11-08 20:57:11.588000,727
2019-11-12 16:35:19.115000,2019-11-12 16:35:30.182000,2019-11-12 16:49:36.592000,716
2019-11-12 17:09:59.448000,2019-11-12 17:11:53.431000,2019-11-12 17:25:53.636000,406
2019-11-12 21:22:18.793000,2019-11-12 21:23:35.501000,2019-11-12 21:39:17.377000,584
2019-11-13 15:53:40.157000,2019-11-13 15:54:04.219000,2019-11-13 16:16:47.269000,625
2019-11-13 16:45:40.943000,2019-11-13 16:46:21.248000,2019-11-13 16:54:16.872000,415
2021-06-30 15:09:25.555000,2021-06-30 15:10:04.619000,2021-06-30 15:14:59.580000,175
2019-11-14 15:06:25.097000,2019-11-14 15:07:41.186000,2019-11-14 15:38:19.344000,537
2019-11-14 16:30:58.526000,2019-11-14 16:32:31.869000,2019-11-14 16:54:30.023000,296
2019-11-04 15:48:02.181000,2019-11-04 15:48:11.163000,2019-11-04 16:06:13.691000,892
2019-11-04 17:00:42.644000,2019-11-04 17:02:18.834000,2019-11-04 17:15:26.688000,666
2019-11-04 17:50:19.228000,2019-11-04 17:55:42.832000,2019-11-04 18:09:51.345000,853
2021-12-29 17:07:30.477000,2021-12-29 17:24:15.033000,2021-12-29 17:30:02.655000,263
2022-02-10 21:38:32.638000,2022-02-10 21:38:59.739000,2022-02-10 21:46:16.100000,294
2019-07-12 17:16:09.272000,2019-07-12 17:16:17.272000,2019-07-12 17:32:09.625000,775
2019-07-12 17:42:20.987000,2019-07-12 17:52:49.253000,2019-07-12 18:00:47.880000,317
2019-07-31 16:34:52.841000,2019-07-31 16:38:38.332000,2019-07-31 16:46:00.231000,627
2019-07-31 16:55:01.857000,2019-07-31 16:57:46.660000,2019-07-31 17:12:48.959000,747
2019-07-31 17:14:52.573000,2019-07-31 17:57:09.002000,2019-07-31 18:01:51.928000,435
2019-07-31 16:31:05.995000,2019-07-31 16:32:49.655000,2019-07-31 16:37:20.079000,172
2019-07-31 17:52:42.386000,2019-07-31 17:59:57.424000,2019-07-31 18:04:49.034000,272
2019-07-31 18:33:25.787000,2019-07-31 18:33:36.701000,2019-07-31 18:47:18.888000,763
2019-07-31 19:40:19.539000,2019-07-31 19:40:43.249000,2019-07-31 19:49:38.688000,213
